Device Name,Model,SSID,Agent Version,Serial Number,OS Version,Group Path,OS Build Number,Application Package,Application Name,Application Version 
-----------,-----,----,-------------,-------------,----------,----------,---------------,-------------------,----------------,--------------------
UK-ALHAMBRA-02,XT3,TM-Presence-ALH,28.59,2314510409,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Independent/Alhambra Theatre,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BOURNE_ACADEMY-001,XT3,LNVisitor,28.59,2314410166,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Bournemouth Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BOURNE_ACADEMY-003,XT3,TM-Presence,28.59,2314510618,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Bournemouth Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BOURNE_ACADEMY-004,XT3,TM-Presence,28.59,2314510619,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Bournemouth Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BRIX_ACADEMY-001,XT3,TM-Presence,28.59,2314410191,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Brixton Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BRIX_ACADEMY-002,XT3,LNVisitor,28.59,2314510626,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Brixton Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BRIX_ACADEMY-004,XT3,TM-Presence,28.59,2314410200,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Brixton Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BRIX_ACADEMY-006,XT3,TM-Presence,28.59,2314510070,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Brixton Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BRIX_ACADEMY-007,XT3,LNVisitor,28.59,2314510064,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Brixton Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BRIX_ACADEMY-009,XT3,TM-Presence,28.579999999999998,2324410048,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Brixton Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BRIX_ACADEMY-012,XT3,TM-Presence,28.59,2205510469,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Brixton Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-BRIX_ACADEMY-014,XT3,TM-Presence,28.59,2204910542,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Brixton Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-AMG-Birm_Academy-05,XT3,TM-Presence,28.59,2132510271,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Clients/Ticketmaster and LiveNation/Academy Music Group (AMG)/O2 Birmingham Academy,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
